row_key,candidate_id,best_pick,file,final_file,source_platform,source_url,download_url,creator,creator_verified,licence_name,licence_url,attribution_required,attribution_text,width,height,bytes,sha256,visual_description,text_safe_notes,warnings
ndis_bg_civic_neutral,ndis_bg_civic_neutral-01,True,images/ndis_bg_civic_neutral-01.jpg,final/ndisyarns_bg_civic_neutral_v1.jpg,pexels,https://www.pexels.com/photo/reflections-on-modern-glass-architecture-32613903/,https://images.pexels.com/photos/32613903/pexels-photo-32613903.jpeg?auto=compress&cs=tinysrgb&w=1920,Mineia Martins,True,Pexels License,https://www.pexels.com/license/,False,Photo by Mineia Martins on Pexels,1920,1280,340577,26a2697de4067d9926787dcba8f4e7a1e439fd1f09ea5a24170317747f3180e8,"Abstract blue glass office facade filling the frame: a reflective curtain-wall window grid in deep navy/blue tones, geometric and sky-free.","Self-check 1080 centre-crop @0.55 scrim: even mid-detail window grid, no single focal object competing at centre; deep navy reads well behind white/teal headline. Legible.",uniform window-grid detail spans the whole frame; confirm headline contrast under scrim
ndis_bg_civic_neutral,ndis_bg_civic_neutral-02,False,images/ndis_bg_civic_neutral-02.jpg,,pexels,https://www.pexels.com/photo/modern-office-building-18731497/,https://images.pexels.com/photos/18731497/pexels-photo-18731497.jpeg?auto=compress&cs=tinysrgb&w=1920,Jan van der Wolf,True,Pexels License,https://www.pexels.com/license/,False,Photo by Jan van der Wolf on Pexels,1920,1280,313167,4c79ebacbdcb01e9cab6c340e37b5548d97d1a2851d1f9eb8f86cbc10efa6055,Teal glass curtain wall with regular vertical brass/gold mullions on a diagonal composition.,"Self-check: regular vertical striping, low focal clutter; teal matches brand palette; gold mullions add a warm accent. Legible.",regular diagonal lines may interfere with a centred text baseline; warm gold accent alongside teal
ndis_bg_civic_neutral,ndis_bg_civic_neutral-03,False,images/ndis_bg_civic_neutral-03.jpg,,pexels,https://www.pexels.com/photo/modern-glass-facade-reflecting-sky-patterns-28733236/,https://images.pexels.com/photos/28733236/pexels-photo-28733236.jpeg?auto=compress&cs=tinysrgb&w=1920,Jan van der Wolf,True,Pexels License,https://www.pexels.com/license/,False,Photo by Jan van der Wolf on Pexels,1920,1280,321038,1b616bf87326ffe4bf25fc9f648df2ef66d3916aae3bb30f850a0b29ba017157,Modern glass building corner against a clear blue sky; upper area is clean open sky.,"Self-check: upper sky provides clean negative space, centre is the building edge; scrim keeps headline legible. Best placed mid-lower.",bright high-key sky at top; keep headline off the brightest sky zone
ndis_bg_civic_neutral,ndis_bg_civic_neutral-04,False,images/ndis_bg_civic_neutral-04.jpg,,pexels,https://www.pexels.com/photo/windows-of-modern-building-16566144/,https://images.pexels.com/photos/16566144/pexels-photo-16566144.jpeg?auto=compress&cs=tinysrgb&w=1920,Mikitayo,True,Pexels License,https://www.pexels.com/license/,False,Photo by Mikitayo on Pexels,1920,2400,590632,17c54fa3d5abee123ccd817daf9e028a40210a429b1c3f36ea038a887bb42e2f,Sweeping curved silver/white modern architecture — a smooth metal-and-glass curve (portrait framing).,"Self-check: smooth curved surfaces, low text competition, cool neutral tone; legible under scrim.",some bright highlights along the curve
ndis_bg_civic_neutral,ndis_bg_civic_neutral-05,False,images/ndis_bg_civic_neutral-05.jpg,,pexels,https://www.pexels.com/photo/rectangular-green-and-clear-glass-panels-1407487/,https://images.pexels.com/photos/1407487/pexels-photo-1407487.jpeg?auto=compress&cs=tinysrgb&w=1920,Ronald van Eendenburg,True,Pexels License,https://www.pexels.com/license/,False,Photo by Ronald van Eendenburg on Pexels,1920,1284,194468,1facbb7593418e81b38f7a1c0f13faf483f00bd8c48a833ab37eac79c9f3562d,Teal-green rectangular cladding/glass panels in regular diagonal rows (building-facade texture).,"Self-check: regular low-detail panel grid, teal-green brand-compatible, even under scrim. Legible.",regular panel seams; verify no moire against text
ndis_bg_brand_texture,ndis_bg_brand_texture-01,True,images/ndis_bg_brand_texture-01.jpg,final/ndisyarns_bg_brand_texture_v1.jpg,pexels,https://www.pexels.com/photo/smooth-dark-blue-pattern-12306417/,https://images.pexels.com/photos/12306417/pexels-photo-12306417.jpeg?auto=compress&cs=tinysrgb&w=1920,Allec Gomes,True,Pexels License,https://www.pexels.com/license/,False,Photo by Allec Gomes on Pexels,1920,2877,57991,40fb69b42a881533e9f1bb73380330073f6f89e3a2150cabf7ca045ab7b788f5,Deep navy silky soft waves — a smooth dark gradient texture with very low detail across the whole frame.,Self-check: dark uniform navy negative space everywhere; ideal scrim backdrop; excellent headline legibility. Matches brand navy.,
ndis_bg_brand_texture,ndis_bg_brand_texture-02,False,images/ndis_bg_brand_texture-02.jpg,,pexels,https://www.pexels.com/photo/graphic-illustration-of-dark-blue-color-gradient-7629493/,https://images.pexels.com/photos/7629493/pexels-photo-7629493.jpeg?auto=compress&cs=tinysrgb&w=1920,Eva Bronzini,True,Pexels License,https://www.pexels.com/license/,False,Photo by Eva Bronzini on Pexels,1920,2880,54396,58ee7d2240ac48c6e338355a3a787ba4abd19db56e9ddf4280da425c8c5a2c81,Dark teal-to-navy horizontal gradient wash with a subtle teal band.,"Self-check: very low detail, dark, clean; brand teal/navy; excellent overlay legibility.",
ndis_bg_brand_texture,ndis_bg_brand_texture-03,False,images/ndis_bg_brand_texture-03.jpg,,pexels,https://www.pexels.com/photo/a-clear-blue-night-sky-7605260/,https://images.pexels.com/photos/7605260/pexels-photo-7605260.jpeg?auto=compress&cs=tinysrgb&w=1920,Eva Bronzini,True,Pexels License,https://www.pexels.com/license/,False,Photo by Eva Bronzini on Pexels,1920,2880,40809,5f3ceb631d4e8734dc7cc366c5daac55a223e3c4b226cfa7d3fc59cb4d0c722d,Deep navy near-solid gradient (a dark blue night-sky wash).,"Self-check: almost flat dark navy, maximal negative space; excellent headline legibility.",
ndis_bg_brand_texture,ndis_bg_brand_texture-04,False,images/ndis_bg_brand_texture-04.jpg,,pexels,https://www.pexels.com/photo/modern-abstract-3d-render-with-gradient-curves-31032752/,https://images.pexels.com/photos/31032752/pexels-photo-31032752.jpeg?auto=compress&cs=tinysrgb&w=1920,UP Modern,True,Pexels License,https://www.pexels.com/license/,False,Photo by UP Modern on Pexels,1920,2880,129535,f8800059a5e2e1a6e66e50797e9066d2f9955c90f25cd181bb831f004bd6b821,Predominantly black frame with a soft lavender/blue light curve in the lower-left (3D render).,"Self-check: predominantly black negative space, minimal detail; headline sits clean over black.",accent curve leans lavender/purple — slightly off the navy/teal palette; predominantly black so low impact
ndis_bg_data_grid,ndis_bg_data_grid-01,True,images/ndis_bg_data_grid-01.jpg,final/ndisyarns_bg_data_grid_v1.jpg,pexels,https://www.pexels.com/photo/abstract-blue-light-streaks-in-motion-35496838/,https://images.pexels.com/photos/35496838/pexels-photo-35496838.jpeg?auto=compress&cs=tinysrgb&w=1920,Evija Ciematniece,True,Pexels License,https://www.pexels.com/license/,False,Photo by Evija Ciematniece on Pexels,1920,2880,373097,874049f829bb685bc48e642b7de2684b7d7d73646d3f82ce3e267afb080e41c0,Radial blue light streaks emanating from a dark central vanishing point on deep navy — a calm motion/information-flow register.,Self-check: the dark centre is clean negative space with the headline zone in the calmest area; streaks radiate to the edges. Legible if headline kept central.,radial streaks toward the edges; keep headline within the central dark zone
ndis_bg_data_grid,ndis_bg_data_grid-02,False,images/ndis_bg_data_grid-02.jpg,,pexels,https://www.pexels.com/photo/abstract-blue-lines-and-drops-on-black-background-6956433/,https://images.pexels.com/photos/6956433/pexels-photo-6956433.jpeg?auto=compress&cs=tinysrgb&w=1920,Solen Feyissa,True,Pexels License,https://www.pexels.com/license/,False,Photo by Solen Feyissa on Pexels,1920,1280,133138,4341d96103580a60e3e3b4baf66dc022f5b80e50727f0a1dad3e6631e97438fa,Teal connected lines and scattered dots/bubbles on black — a connected-dots / node register.,Self-check: large black negative space; the dots-and-lines motif reads as network/connection; legible.,some brighter dot clusters in the upper area
ndis_bg_data_grid,ndis_bg_data_grid-03,False,images/ndis_bg_data_grid-03.jpg,,pexels,https://www.pexels.com/photo/abstract-blue-grid-pattern-design-36536054/,https://images.pexels.com/photos/36536054/pexels-photo-36536054.jpeg?auto=compress&cs=tinysrgb&w=1920,Valentin Ivantsov,True,Pexels License,https://www.pexels.com/license/,False,Photo by Valentin Ivantsov on Pexels,1920,2880,1315615,fe2f49bc1976be05e410cc622ef0ad08d57d2f88064df51f31d2cd1430144a7d,Bright blue folded line-mesh grid surface — an abstract grid/mesh.,Self-check: the grid/mesh fills the frame and is brighter/busier; competes more with a headline; calmest near edges. Alternate only.,"bright saturated blue and busy mesh lower text-contrast; offered as an alternate, not for the calmest layouts"
ndis_bg_data_grid,ndis_bg_data_grid-04,False,images/ndis_bg_data_grid-04.jpg,,pexels,https://www.pexels.com/photo/3d-image-of-a-clear-glass-ball-14314638/,https://images.pexels.com/photos/14314638/pexels-photo-14314638.jpeg?auto=compress&cs=tinysrgb&w=1920,Merlin,True,Pexels License,https://www.pexels.com/license/,False,Photo by Merlin on Pexels,1920,1280,247458,2586860e3a0fcb106ac4b1aba35a7e532018cf8327e5a4b6044a15ece4ba45e6,Two glowing wireframe network spheres joined by a luminous bridge on teal (plexus/node render).,Self-check: the bright connection glows through the centre and competes with a centred headline; corners are darker. Consider a lower/off-centre headline.,bright centre bridge reduces central legibility
